iter,source_file,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53,w54,w55,w56,w57,w58,w59,w60,w61,w62,w63,w64,w65,w66,w67,w68,w69,w70,w71,w72,w73,w74,w75,w76,w77,w78,w79,w80,w81,w82,w83,w84,w85,w86,w87,w88,w89,w90,w91,w92,w93,w94,w95,w96,w97,w98,w99
16,iter_016_b250ab16_prompt.txt,1.0,2.0,50.0,100.0,44.0,34.0,24.0,18.0,29.0,49.0,2.0,16.0,198.0,100.0,100.0,100.0,100.0,-30.0,130.0,1.2,1.1,130.0,-100.0,100.0,100.0,100.0,100.0,1.05,1.05,130.0,-100.0,1.05,130.0,1.05,130.0,100.0,1.03,100.0,6.0,100.0,100.0,0.0,-50.0,0.0,100.0,10.0,100.0,-30.0,100.0,-30.0,100.0,100.0,-30.0,100.0,0.0,0.0,1.0,0.0,100.0,0.5,0.005,100.0,0.9,100.0,0.0,100.0,0.9,0.95,0.9,100.0,0.9,100.0,100.0,1.1,0.9,100.0,100.0,-2.0,2.0,0.0,-50.0,1.1,-2.0,2.0,-5.0,5.0,100.0,100.0,0.9,-2.0,2.0,7.0,100.0,100.0,-2.0,2.0,0.0,-50.0,100.0,100.0
16,iter_016_b250ab16_response.txt,100.0,100.0,100.0,100.0,100.0,100.0,-30.0,-30.0,130.0,-30.0,130.0,-30.0,130.0,-30.0,130.0,-30.0,130.0,0.0,100.0,99.0,-30.0,130.0,30.0,99.0,160.0,-30.0,160.0,99.0,-30.0,130.0,100.0,-30.0,130.0,130.0,-30.0,99.0,160.0,99.0,1.61616161616,0.0,-30.0,99.0,130.0,0.0,99.0,-30.0,1.61616161616,0.0,-30.0,1.0,-28.38383838384,2.0,-26.76767676768,3.0,-25.15151515152,4.0,-23.53535353536,5.0,-21.9191919192,6.0,-20.30303030304,7.0,-18.68686868688,8.0,-17.07070707072,9.0,-15.45454545456,10.0,-13.8383838384,11.0,-12.22222222224,12.0,-10.60606060608,13.0,-8.98989898992,14.0,-7.37373737376,15.0,-5.7575757576,16.0,-4.14141414144,17.0,-2.52525252528,18.0,-0.90909090912,19.0,0.70707070704,20.0,2.3232323232,21.0,3.93939393936,22.0,5.55555555552,23.0,7.17171717168,24.0,8.78787878784,25.0,10.404040404,26.0
17,iter_017_56baf5e8_prompt.txt,1.0,2.0,50.0,100.0,43.0,34.0,33.0,18.0,28.0,42.0,2.0,17.0,198.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-30.0,-30.0,130.0,-30.0,130.0,-30.0,130.0,-30.0,130.0,-30.0,130.0,0.0,100.0,99.0,-30.0,130.0,30.0,99.0,160.0,-30.0,160.0,99.0,-30.0,130.0,100.0,-30.0,130.0,130.0,-30.0,99.0,160.0,99.0,1.61616161616,0.0,-30.0,99.0,130.0,0.0,99.0,-30.0,1.61616161616,0.0,-30.0,1.0,-28.38383838384,2.0,-26.76767676768,3.0,-25.15151515152,4.0,-23.53535353536,5.0,-21.9191919192,6.0,-20.30303030304,7.0,-18.68686868688,8.0,-17.07070707072,9.0,-15.45454545456,10.0,-13.8383838384,11.0,-12.22222222224,12.0,-10.60606060608,13.0,-8.98989898992,14.0,-7.37373737376,15.0,-5.7575757576,16.0,-4.14141414144,17.0,-2.52525252528,18.0,-0.90909090912,19.0
17,iter_017_56baf5e8_response.txt,100.0,100.0,100.0,100.0,100.0,100.0,-30.0,130.0,2.0,100.0,0.9,100.0,-30.0,130.0,0.0,-200.0,-0.5,0.5,100.0,0.5,2.0,100.0,100.0,0.0,99.0,0.5,2.0,100.0,6.0,0.0,0.0,0.0,1.0,2.0,100.0,0.0628319,0.0627905,0.5,0.031395,2.0,0.1256637,0.125333,0.5,0.0626665,3.0,0.1884956,0.187381,0.0936905,4.0,0.2513274,0.24869,0.124345,5.0,0.3141593,0.309017,0.1545085,6.0,0.3769911,0.368124,0.184062,7.0,0.4398229,0.425779,0.2128895,8.0,0.5026548,0.481754,0.240877,9.0,0.5654867,0.535827,0.2679135,10.0,0.6283185,0.587785,0.2938925,11.0,0.6911504,0.637424,0.318712,12.0,0.7539822,0.684547,0.3422735,13.0,0.8168141,0.728969,0.3644845,14.0,0.8796459,0.770513,0.3852565,15.0,0.9424778,0.809017,0.4045085,16.0,1.0053096,0.844328,0.422164
18,iter_018_10d2cc58_prompt.txt,1.0,2.0,50.0,100.0,44.0,37.0,30.0,17.0,29.0,41.0,2.0,18.0,198.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-30.0,130.0,2.0,100.0,0.9,100.0,-30.0,130.0,0.0,-200.0,-0.5,0.5,100.0,0.5,2.0,100.0,100.0,0.0,99.0,0.5,2.0,100.0,6.0,0.0,0.0,0.0,1.0,2.0,100.0,0.0628319,0.0627905,0.5,0.031395,2.0,0.1256637,0.125333,0.5,0.0626665,3.0,0.1884956,0.187381,0.0936905,4.0,0.2513274,0.24869,0.124345,5.0,0.3141593,0.309017,0.1545085,6.0,0.3769911,0.368124,0.184062,7.0,0.4398229,0.425779,0.2128895,8.0,0.5026548,0.481754,0.240877,9.0,0.5654867,0.535827,0.2679135,10.0,0.6283185,0.587785,0.2938925,11.0,0.6911504,0.637424,0.318712,12.0,0.7539822,0.684547,0.3422735,13.0,0.8168141
18,iter_018_10d2cc58_response.txt,100.0,7.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-30.0,0.9,100.0,6.0,1.0,100.0,0.5,0.5,2.0,100.0,100.0,0.5,0.0,0.99,0.5,2.0,100.0,0.5,100.0,0.5,0.5,-30.0,130.0,0.5,0.5,100.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
19,iter_019_9ef8495a_response.txt,100.0,100.0,100.0,-200.0,200.0,100.0,0.0,99.0,100.0,0.0,100.0,-200.0,200.0,100.0,100.0,100.0,30.0,2.0,100.0,-200.0,200.0,30.0,70.0,-130.0,0.0,0.99,100.0,30.0,2.0,100.0,2.0,100.0,0.0628319,0.0628319,30.0,100.0,0.0,0.99,2.0,100.0,0.0,0.0,100.0,1.0,0.0628319,0.06279,30.0,1.8837,101.8837,2.0,0.1256637,0.125333,30.0,3.75999,103.76,3.0,0.1884956,0.187381,30.0,5.62143,105.621,4.0,0.2513274,0.24869,30.0,7.4607,107.461,5.0,0.3141593,0.309017,30.0,9.2705,109.271,6.0,0.3769911,0.368124,30.0,11.0437,111.044,7.0,0.4398229,0.425779,30.0,12.7734,112.773,8.0,0.5026548,0.481754,30.0,14.4526,114.453,9.0,0.5654867,0.535827,30.0,16.0748,116.075,10.0,0.6283185,0.587785
19,iter_019_9ef8495a_prompt.txt,1.0,2.0,50.0,100.0,42.0,35.0,32.0,17.0,30.0,42.0,2.0,19.0,198.0,100.0,100.0,7.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-30.0,0.9,100.0,6.0,1.0,100.0,0.5,0.5,2.0,100.0,100.0,0.5,0.0,0.99,0.5,2.0,100.0,0.5,100.0,0.5,0.5,-30.0,130.0,0.5,0.5,100.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
20,iter_020_029e8912_response.txt,100.0,100.0,1.0,100.0,1.0,1.1,1.1,100.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
20,iter_020_029e8912_prompt.txt,1.0,2.0,50.0,100.0,43.0,34.0,27.0,19.0,32.0,43.0,2.0,20.0,198.0,100.0,100.0,100.0,100.0,-200.0,200.0,100.0,0.0,99.0,100.0,0.0,100.0,-200.0,200.0,100.0,100.0,100.0,30.0,2.0,100.0,-200.0,200.0,30.0,70.0,-130.0,0.0,0.99,100.0,30.0,2.0,100.0,2.0,100.0,0.0628319,0.0628319,30.0,100.0,0.0,0.99,2.0,100.0,0.0,0.0,100.0,1.0,0.0628319,0.06279,30.0,1.8837,101.8837,2.0,0.1256637,0.125333,30.0,3.75999,103.76,3.0,0.1884956,0.187381,30.0,5.62143,105.621,4.0,0.2513274,0.24869,30.0,7.4607,107.461,5.0,0.3141593,0.309017,30.0,9.2705,109.271,6.0,0.3769911,0.368124,30.0,11.0437,111.044,7.0,0.4398229,0.425779,30.0,12.7734,112.773,8.0
21,iter_021_69f4b68e_prompt.txt,1.0,2.0,50.0,100.0,44.0,34.0,30.0,19.0,26.0,45.0,2.0,21.0,198.0,100.0,100.0,100.0,1.0,100.0,1.0,1.1,1.1,100.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
21,iter_021_69f4b68e_response.txt,100.0,100.0,1.0,100.0,20.0,-30.0,0.0,100.0,120.0,150.0,100.0,10.0,120.0,10.0,9.0,-30.0,-40.0,-30.0,-30.0,100.0,120.0,-150.0,150.0,120.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-30.0,0.9,100.0,6.0,1.0,100.0,0.5,0.5,2.0,100.0,100.0,0.5,0.0,0.99,0.5,2.0,100.0,0.5,100.0,0.5,0.5,-30.0,130.0,0.5,0.5,100.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
22,iter_022_32be5fcc_prompt.txt,1.0,2.0,50.0,100.0,44.0,34.0,27.0,23.0,29.0,40.0,2.0,22.0,197.0,100.0,100.0,100.0,1.0,100.0,20.0,-30.0,0.0,100.0,120.0,150.0,100.0,10.0,120.0,10.0,9.0,-30.0,-40.0,-30.0,-30.0,100.0,120.0,-150.0,150.0,120.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-30.0,0.9,100.0,6.0,1.0,100.0,0.5,0.5,2.0,100.0,100.0,0.5,0.0,0.99,0.5,2.0,100.0,0.5,100.0,0.5,0.5,-30.0,130.0,0.5,0.5,100.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
22,iter_022_32be5fcc_response.txt,100.0,100.0,100.0,-30.0,100.0,100.0,100.0,0.0,1.0,100.0,100.0,-200.0,200.0,0.0,100.0,100.0,100.0,1.0,100.0,100.0,100.0,2.0,-200.0,200.0,-200.0,200.0,3.0,200.0,100.0,0.0,3.0,200.0,1.0,3.0,100.0,100.0,8.0,100.0,0.0,100.0,100.0,-200.0,200.0,100.0,100.0,100.0,-200.0,200.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-200.0,200.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
23,iter_023_ec551545_prompt.txt,1.0,2.0,50.0,100.0,44.0,36.0,16.0,23.0,31.0,44.0,2.0,23.0,194.0,100.0,100.0,100.0,100.0,-30.0,100.0,100.0,100.0,0.0,1.0,100.0,100.0,-200.0,200.0,0.0,100.0,100.0,100.0,1.0,100.0,100.0,100.0,2.0,-200.0,200.0,-200.0,200.0,3.0,200.0,100.0,0.0,3.0,200.0,1.0,3.0,100.0,100.0,8.0,100.0,0.0,100.0,100.0,-200.0,200.0,100.0,100.0,100.0,-200.0,200.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-200.0,200.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
23,iter_023_ec551545_response.txt,100.0,100.0,1.1,0.0,-100.0,100.0,-30.0,0.1,100.0,100.0,5.0,0.0,110.0,1.0,110.0,100.0,0.5,1.0,0.05,100.0,0.05,0.0,1.0,0.5,0.9,0.02,0.02,100.0,100.0,0.02,100.02,100.0,100.0,100.0,0.02,-100.0,100.0,1.0,100.0,1.0,100.0,20.0,-30.0,0.0,100.0,120.0,150.0,100.0,1.0,100.0,1.0,100.0,20.0,-30.0,0.0,100.0,120.0,150.0,100.0,10.0,120.0,10.0,9.0,-30.0,-40.0,-30.0,-30.0,100.0,120.0,-150.0,150.0,120.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-30.0,0.9,100.0,6.0,1.0,100.0,0.5,0.5,2.0,100.0,100.0,0.5,0.0,0.99,0.5,2.0,100.0,0.5
24,iter_024_3212b884_prompt.txt,1.0,2.0,50.0,100.0,42.0,35.0,17.0,21.0,34.0,47.0,2.0,24.0,196.0,100.0,100.0,100.0,1.1,0.0,-100.0,100.0,-30.0,0.1,100.0,100.0,5.0,0.0,110.0,1.0,110.0,100.0,0.5,1.0,0.05,100.0,0.05,0.0,1.0,0.5,0.9,0.02,0.02,100.0,100.0,0.02,100.02,100.0,100.0,100.0,0.02,-100.0,100.0,1.0,100.0,1.0,100.0,20.0,-30.0,0.0,100.0,120.0,150.0,100.0,1.0,100.0,1.0,100.0,20.0,-30.0,0.0,100.0,120.0,150.0,100.0,10.0,120.0,10.0,9.0,-30.0,-40.0,-30.0,-30.0,100.0,120.0,-150.0,150.0,120.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-30.0,0.9,100.0,6.0
24,iter_024_3212b884_response.txt,100.0,50.0,100.0,2.0,100.0,100.0,100.0,-30.0,100.0,100.0,120.0,3.0,-30.0,-20.0,100.0,100.0,0.5,2.0,1.1,5.0,4.0,-30.0,-10.0,6.0,0.0,10.0,100.0,0.0,-1.0,100.0,2.0,5.0,3.0,100.0,4.0,100.0,5.0,100.0,6.0,-30.0,-10.0,7.0,0.1,0.5,8.0,100.0,9.0,100.0,10.0,5.0,11.0,0.0,12.0,110.0,13.0,1.0,14.0,110.0,15.0,100.0,16.0,0.5,17.0,1.0,18.0,0.05,19.0,100.0,20.0,0.05,21.0,0.0,22.0,1.0,23.0,0.5,24.0,0.9,25.0,0.02,26.0,0.02,27.0,100.0,28.0,100.0,29.0,0.02,30.0,100.02,100.0,0.5,100.0,1.1,1.05,200.0,100.0,-30.0,-30.0,1.05
25,iter_025_6653e2c7_response.txt,100.0,1.0,0.5,0.5,0.4,2.0,100.0,0.1,0.9,100.0,0.0,99.0,0.5,0.4,2.0,100.0,0.0,0.0,0.5,50.0,0.0628319,0.06279,0.5,0.0251,0.5251,2.0,100.0,6.0,0.9,0.9,0.9,100.0,0.9,100.0,100.0,0.5,0.5,0.5,100.0,0.5,100.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
25,iter_025_6653e2c7_prompt.txt,1.0,2.0,50.0,100.0,43.0,34.0,22.0,18.0,36.0,44.0,2.0,25.0,197.0,100.0,100.0,50.0,100.0,2.0,100.0,100.0,100.0,-30.0,100.0,100.0,120.0,3.0,-30.0,-20.0,100.0,100.0,0.5,2.0,1.1,5.0,4.0,-30.0,-10.0,6.0,0.0,10.0,100.0,0.0,-1.0,100.0,2.0,5.0,3.0,100.0,4.0,100.0,5.0,100.0,6.0,-30.0,-10.0,7.0,0.1,0.5,8.0,100.0,9.0,100.0,10.0,5.0,11.0,0.0,12.0,110.0,13.0,1.0,14.0,110.0,15.0,100.0,16.0,0.5,17.0,1.0,18.0,0.05,19.0,100.0,20.0,0.05,21.0,0.0,22.0,1.0,23.0,0.5,24.0,0.9,25.0,0.02,26.0,0.02,27.0,100.0,28.0,100.0
26,iter_026_2df99380_prompt.txt,1.0,2.0,50.0,100.0,43.0,34.0,33.0,18.0,27.0,43.0,2.0,26.0,198.0,100.0,100.0,1.0,0.5,0.5,0.4,2.0,100.0,0.1,0.9,100.0,0.0,99.0,0.5,0.4,2.0,100.0,0.0,0.0,0.5,50.0,0.0628319,0.06279,0.5,0.0251,0.5251,2.0,100.0,6.0,0.9,0.9,0.9,100.0,0.9,100.0,100.0,0.5,0.5,0.5,100.0,0.5,100.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
26,iter_026_2df99380_response.txt,100.0,100.0,0.5,100.0,1.1,-1.0,1.0,-1.0,1.0,100.0,100.0,10.0,-30.0,20.0,1.2,0.0,100.0,100.0,100.0,0.5,0.5,100.0,20.0,1.2,100.0,100.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
27,iter_027_367f3e92_prompt.txt,1.0,2.0,50.0,100.0,44.0,34.0,34.0,17.0,24.0,45.0,2.0,27.0,198.0,100.0,100.0,100.0,0.5,100.0,1.1,-1.0,1.0,-1.0,1.0,100.0,100.0,10.0,-30.0,20.0,1.2,0.0,100.0,100.0,100.0,0.5,0.5,100.0,20.0,1.2,100.0,100.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
27,iter_027_367f3e92_response.txt,0.0,-100.0,-30.0,30.0,0.5,1.0,100.0,0.0,100.0,0.0,5.0,0.0,-100.0,10.0,-20.0,9.0,0.5,100.0,5.0,20.0,0.0,-100.0,-30.0,-30.0,2.0,0.525,2.0,0.1,0.5,1.1,0.1,0.1,5.0,100.0,10.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.5,100.0,1.1,-1.0,1.0,-1.0,1.0,100.0,100.0,10.0,-30.0,20.0,1.2,0.0,100.0,100.0,100.0,0.5,0.5,100.0,20.0,1.2,100.0,100.0,0.5,0.5,0.5,100.0,0.1,100.0,0.1,100.1,0.0,-100.0,0.0,-100.0,0.1,100.0,50.0,0.5,5.0,0.2,100.0,100.0,10.0,0.5,0.5,100.0,100.0,-30.0,-30.0,1.1,1.1,-1.0,-1.0,0.5,0.6,0.5
28,iter_028_a8ac4798_prompt.txt,1.0,2.0,50.0,100.0,42.0,36.0,22.0,17.0,32.0,49.0,2.0,28.0,198.0,100.0,0.0,-100.0,-30.0,30.0,0.5,1.0,100.0,0.0,100.0,0.0,5.0,0.0,-100.0,10.0,-20.0,9.0,0.5,100.0,5.0,20.0,0.0,-100.0,-30.0,-30.0,2.0,0.525,2.0,0.1,0.5,1.1,0.1,0.1,5.0,100.0,10.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.5,100.0,1.1,-1.0,1.0,-1.0,1.0,100.0,100.0,10.0,-30.0,20.0,1.2,0.0,100.0,100.0,100.0,0.5,0.5,100.0,20.0,1.2,100.0,100.0,0.5,0.5,0.5,100.0,0.1,100.0,0.1,100.1,0.0,-100.0,0.0,-100.0,0.1,100.0,50.0,0.5,5.0,0.2,100.0,100.0
28,iter_028_a8ac4798_response.txt,100.0,100.0,100.0,10.0,100.0,-100.0,100.0,10.0,0.5,-1.0,1.0,100.0,100.0,30.0,100.0,100.0,100.0,0.0,99.0,9.0,0.0,-100.0,-30.0,30.0,0.5,1.0,100.0,0.0,100.0,0.0,5.0,0.0,-100.0,10.0,-20.0,9.0,0.5,100.0,5.0,20.0,0.0,-100.0,-30.0,-30.0,2.0,0.525,2.0,0.1,0.5,1.1,0.1,0.1,5.0,100.0,10.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.5,100.0,1.1,-1.0,1.0,-1.0,1.0,100.0,100.0,10.0,-30.0,20.0,1.2,0.0,100.0,100.0,100.0,0.5,0.5,100.0,20.0,1.2,100.0,100.0,0.5,0.5,0.5,100.0,0.1,100.0,0.1,100.1,0.0,-100.0,0.0,-100.0,0.1,100.0
29,iter_029_74ee7b93_response.txt,100.0,-100.0,100.0,-100.0,100.0,1.1,100.0,100.0,10.0,100.0,100.0,100.0,100.0,0.5,100.0,100.0,100.0,100.0,100.0,-100.0,100.0,-100.0,50.0,100.0,50.0,-100.0,100.0,0.0,-49.0,100.0,50.0,-99.0,-100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
29,iter_029_74ee7b93_prompt.txt,1.0,2.0,50.0,100.0,44.0,38.0,17.0,21.0,29.0,47.0,2.0,29.0,196.0,100.0,100.0,100.0,100.0,10.0,100.0,-100.0,100.0,10.0,0.5,-1.0,1.0,100.0,100.0,30.0,100.0,100.0,100.0,0.0,99.0,9.0,0.0,-100.0,-30.0,30.0,0.5,1.0,100.0,0.0,100.0,0.0,5.0,0.0,-100.0,10.0,-20.0,9.0,0.5,100.0,5.0,20.0,0.0,-100.0,-30.0,-30.0,2.0,0.525,2.0,0.1,0.5,1.1,0.1,0.1,5.0,100.0,10.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.5,100.0,1.1,-1.0,1.0,-1.0,1.0,100.0,100.0,10.0,-30.0,20.0,1.2,0.0,100.0,100.0,100.0,0.5,0.5,100.0,20.0,1.2,100.0,100.0
30,iter_030_2f573fec_response.txt,100.0,7.0,100.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,-100.0,2.0,100.0,100.0,100.0,100.0,100.0,-200.0,200.0,-150.0,150.0,100.0,0.0,99.0,5.0,2.0,100.0,5.0,99.0,5.0,0.0,5.0,5.0,2.0,100.0,99.0,0.0,99.0,2.0,0.5,-0.5,100.0,100.0,5.0,2.0,100.0,0.0,3.6,0.0,99.0,2.0,100.0,2.0,100.0,0.06283185307,0.06283185,0.06283,0.1,0.2,0.5,0.5,0.5,100.0,0.1,0.004,0.1,0.1,0.396,0.496,0.1,0.5,0.5,0.1,99.0,0.4,99.0,0.00404040404,0.1,0.00404040404,100.0,0.0,0.1,1.0,0.104040404,2.0,0.108080808,99.0,0.1,99.0,0.00404040404,0.1,0.4,0.5,0.00404040404,99.0,0.4,0.1,0.00404040404,100.0,6.0
30,iter_030_2f573fec_prompt.txt,1.0,2.0,50.0,100.0,50.0,34.0,16.0,19.0,33.0,45.0,2.0,30.0,197.0,100.0,100.0,-100.0,100.0,-100.0,100.0,1.1,100.0,100.0,10.0,100.0,100.0,100.0,100.0,0.5,100.0,100.0,100.0,100.0,100.0,-100.0,100.0,-100.0,50.0,100.0,50.0,-100.0,100.0,0.0,-49.0,100.0,50.0,-99.0,-100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
31,iter_031_10c7682e_prompt.txt,1.0,2.0,50.0,100.0,44.0,38.0,23.0,20.0,29.0,44.0,2.0,31.0,198.0,100.0,100.0,7.0,100.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,-100.0,2.0,100.0,100.0,100.0,100.0,100.0,-200.0,200.0,-150.0,150.0,100.0,0.0,99.0,5.0,2.0,100.0,5.0,99.0,5.0,0.0,5.0,5.0,2.0,100.0,99.0,0.0,99.0,2.0,0.5,-0.5,100.0,100.0,5.0,2.0,100.0,0.0,3.6,0.0,99.0,2.0,100.0,2.0,100.0,0.06283185307,0.06283185,0.06283,0.1,0.2,0.5,0.5,0.5,100.0,0.1,0.004,0.1,0.1,0.396,0.496,0.1,0.5,0.5,0.1,99.0,0.4,99.0,0.00404040404,0.1,0.00404040404,100.0,0.0,0.1,1.0,0.104040404,2.0,0.108080808
